task,variation_count,randomizable_types,sampled_language_variations,common_collection_randomization
change_channel,1 or source-defined,"variation/language target, object/shape/type choice, target/location choice, object initial pose, quantity/count choice",turn the channel minus | turn the channel up,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
close_jar,1 or source-defined,"variation/language target, object/color choice, object/shape/type choice, target/location choice, object initial pose, quantity/count choice",close the olive jar | close the navy jar | close the magenta jar | close the gray jar | close the teal jar | close the green jar | close the azure jar | close the maroon jar | close the silver jar | close the violet jar | close the orange jar | close the black jar | close the blue jar | close the white jar | close the lime jar | close the yellow jar | close the cyan jar | close the red jar | close the purple jar | close the rose jar,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
insert_onto_square_peg,1 or source-defined,"variation/language target, object/color choice, object/shape/type choice, target/location choice, object initial pose, quantity/count choice, container/fixture choice",put the ring on the olive spoke | put the ring on the navy spoke | put the ring on the magenta spoke | put the ring on the gray spoke | put the ring on the teal spoke | put the ring on the green spoke | put the ring on the azure spoke | put the ring on the maroon spoke | put the ring on the silver spoke | put the ring on the violet spoke | put the ring on the orange spoke | put the ring on the black spoke | put the ring on the blue spoke | put the ring on the white spoke | put the ring on the lime spoke | put the ring on the yellow spoke | put the ring on the cyan spoke | put the ring on the red spoke | put the ring on the purple spoke | put the ring on the rose spoke,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
light_bulb_in,1 or source-defined,"variation/language target, object/color choice, object/shape/type choice, target/location choice, object initial pose, quantity/count choice",screw in the olive light bulb | screw in the navy light bulb | screw in the magenta light bulb | screw in the gray light bulb | screw in the teal light bulb | screw in the green light bulb | screw in the azure light bulb | screw in the maroon light bulb | screw in the silver light bulb | screw in the violet light bulb | screw in the orange light bulb | screw in the black light bulb | screw in the blue light bulb | screw in the white light bulb | screw in the lime light bulb | screw in the yellow light bulb | screw in the cyan light bulb | screw in the red light bulb | screw in the purple light bulb | screw in the rose light bulb,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
place_cups,1 or source-defined,"variation/language target, object/shape/type choice, target/location choice, object initial pose, quantity/count choice, container/fixture choice",place 1 cup on the cup holder | place 2 cups on the cup holder,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
place_shape_in_shape_sorter,1 or source-defined,"variation/language target, object/shape/type choice, target/location choice, object initial pose, quantity/count choice",put the moon in the shape sorter | put the star in the shape sorter | put the cube in the shape sorter | put the triangular prism in the shape sorter | put the cylinder in the shape sorter,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
push_buttons,1 or source-defined,"variation/language target, object/color choice, object/shape/type choice, target/location choice, object initial pose, quantity/count choice","push the maroon button, then push the green button, then push the black button | push the maroon button, then push the green button | push the maroon button | push the maroon button, then push the green button, then push the azure button | push the maroon button, then push the green button, then push the white button | push the maroon button, then push the green button, then push the cyan button | push the maroon button, then push the green button, then push the yellow button | push the maroon button, then push the green button, then push the rose button | push the maroon button, then push the green button, then push the purple button | push the maroon button, then push the green button, then push the orange button | push the maroon button, then push the green button, then push the gray button | push the maroon button, then push the green button, then push the navy button | push the maroon button, then push the green button, then push the violet button | push the maroon button, then push the blue button | push the maroon button, then push the green button, then push the magenta button | push the maroon button, then push the green button, then push the olive button | push the maroon button, then push the green button, then push the blue button | push the maroon button, then push the green button, then push the silver button | push the maroon button, then push the green button, then push the teal button","seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
put_groceries_in_cupboard,1 or source-defined,"variation/language target, object/shape/type choice, target/location choice, object initial pose, quantity/count choice, container/fixture choice",put the spam in the cupboard | put the sugar in the cupboard | put the mustard in the cupboard | put the soup in the cupboard | put the tuna in the cupboard | put the crackers in the cupboard | put the coffee in the cupboard | put the strawberry jello in the cupboard | put the chocolate jello in the cupboard,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
put_item_in_drawer,1 or source-defined,"variation/language target, object/shape/type choice, target/location choice, quantity/count choice, container/fixture choice",put item in bottom drawer,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
reach_and_drag,1 or source-defined,"variation/language target, object/color choice, object/shape/type choice, target/location choice, quantity/count choice",use the stick to drag the cube onto the olive target | use the stick to drag the cube onto the navy target | use the stick to drag the cube onto the magenta target | use the stick to drag the cube onto the gray target | use the stick to drag the cube onto the teal target | use the stick to drag the cube onto the green target | use the stick to drag the cube onto the azure target | use the stick to drag the cube onto the maroon target | use the stick to drag the cube onto the silver target | use the stick to drag the cube onto the violet target | use the stick to drag the cube onto the orange target | use the stick to drag the cube onto the black target | use the stick to drag the cube onto the blue target | use the stick to drag the cube onto the white target | use the stick to drag the cube onto the lime target | use the stick to drag the cube onto the yellow target | use the stick to drag the cube onto the cyan target | use the stick to drag the cube onto the red target | use the stick to drag the cube onto the purple target | use the stick to drag the cube onto the rose target,"seed controls RLBench reset/demo sampling; task_env.sample_variation(); optional initial robot arm joint Gaussian noise, gripper open amount, tip IK xyz/rpy perturbation"
